ID,Futbolista,Nombre,Posición,FechaNac,LugarNac,País,FechaMuerte,LugarMuerte,Peso,Altura,Procedencia,Destino,Trayectoria,Biografía,Foto1,Foto2
Ábila,Ramón Ábila,Ramón Darío Ábila,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Procedencia,Destino,"Instituto (Córdoba),Sarmiento (Junín),Dep. Morón,Huracán,Cruzeiro (Brasil),Boca Juniors,Minessota United (Estados Unidos),DC United (Estados Unidos),Colón (Santa Fe),Barracas Central",Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEh44lxTJJU8o4uWdTB4CLoNDapp4MqG5kIU3cIT_DcZDZW8s01NzxvUtzIoXoevs3C07OgDhrw9kES3bTYU95iNNc_f3sVYbJpZWEGaL8PXRvwPI4pXwyI07VpKlD0UpsniPPz4Z4QyPVacFpqUrQwAkwUFS1T16J8W10MC9byOr0qTDLWkRNdWvRrVoz2J=w109-h145,Foto2
Aguirre,Nicolás Aguirre,Nicolás Agustín Aguirre,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Inferiores,Destino,Trayectoria,Biografía,Foto1,Foto2
Angeloff,David Angeloff,David Alcides Angeloff,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Inferiores,Destino,Trayectoria,Biografía,Foto1,Foto2
Arano,Carlos Arano,Carlos Andrés Arano,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Polideportivo Ejido (España),Destino,Trayectoria,Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgf_b3uwenkzE8b1I-43Lpanl0qUBWLW0Lqo-1ZevLHiKKCcsKMzvA61PZxVs9pL3o_sLJMZc50urvhsYzm1rW33MEG5rHMA9dXCCT24DaxJq-HRsTnFM4uH-bjdlz7-r4EuCL90K083oXCA35ohAvuoBPgWgj2b-kXi4BaTjKS-3EosbmX55EM3Zmg3ISS=w111-h148,Foto2
﻿Araujo,Carlos Araujo,Carlos Luciano Araujo,Lateral derecho,19/11/1981,Avellaneda (Buenos Aires),Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Olimpo (Bahía Blanca),Ind. Rivadavia (Mendoza),"Ind. Rivadavia (Mendoza),Atl. Rafaela,Estudiantes (La Plata),Newell's Old Boys (Rosario),Olimpo (Bahía Blanca),Huracán,AEK Atenas (Grecia),Lanús","Debutó en 2000 en Independiente Rivadavia y pasó en 2002 a Atlético de Rafaela.  Luego pasó por Estudiantes de La Plata (2005-06), Newell's (2006-07) y Olimpo (2007-08).  De allí llegó a Huracán para ser titular del famoso equipo del “Tiki-Tiki” que fue subcampeón del Clausura 2009, habiendo jugado 35 partidos y convirtido un gol en la temporada 2008-09.  Luego pasó al AEK Atenas, Grecia, ese mismo 2009.  Regresó al país en 2011 para coronar una extensa carrera en Lanús (2011-15).  Regresó a Huracán (2016-20) para completar una segunda etapa, finalizando su carrera en Independiente Rivadavia (2020-21).",https://blogger.googleusercontent.com/img/a/AVvXsEhXbHhTFcNwocSUz6zfBw06KgaJZEmFbuc3YN1WThbPCcaEssMOvMus0RL-QutQGWT4D2q5j-evIFsRiBIa0nuQH6PJIy-yL4NJsHx4tw5aIVgwdZZKsnCV2FNlAy2GvgC9-vVfRM-bRoWyJGtcMAA-yqSnrTtQTo1C7nXcWbJoAHHvLLkqNHheLvfjHMt-=w109-h146,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEju_awMcY_A0BjmaNzf9LzNRLLOhDeLdlduVJXngv7TL5u0-sI0_D_1nfkWHr3HE9zMoLyhj4N_XAweP5aY7sfGXsD-B2x47atiugZSkKRopQTKOzztOwmTOF2e5UvR9IHxm_4CL9auf1g/w200-h300/Araujo+Carlos+01.jpg
﻿Arraya,Juan J Arraya,Juan José Arraya,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Procedencia,Destino,"Gimnasia (Jujuy),Juventud Antoniana (Salta),Univ. de Concepción (Chile),Portuguesa (Brasil),Huracán,Patronato (Paraná),Ramón Santamarina (Tandil),Delfín (Ecuador),Gimnasia y Tiro (Salta),Portuguesa (Venezuela),Atl. Cuyaya (Jujuy),San Martín (Formosa)",Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgc26AX5kEKZLHTaDs5121n1lRRyMqGnVcMh_3dlyPjEZVkfgy8YpnYn-QX4VeN6bUJ1_s7BJ3yJ84NwRnW4Icp6p_f1hSRLv5Y_WxSbv1-GJMQyibnTqHO56FducppLqxObM5firkXFy4sOPpmk39DESTwS0pTekE7mJU93hm6QPh87rAiAF699mlSuw1-=w111-h147,Foto2
Balbi,Luciano Balbi,Luciano Damián Balbi,Posición,FechaNac,LugarNac,País,FechaMuerte,LugarMuerte,Peso,Altura,LDU Quito (Ecuador),Destino,Trayectoria,Biografía,Foto1,Foto2
Balvorín,Gustavo Balvorín,Gustavo Alberto Balvorín,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Levadiakos (Grecia),Destino,Trayectoria,Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgHUNx9qXNDm7ioxeL1nSZuTxc1vLKDGmb0afxo0S980yjWjKHlZmC7RZW0Ddq0jVZHCZmcUGKxUtC8vTD0fb366Nr_xRNWmbW6aLPaXhOe_fp0jorfESACqeRAWzUlqUvaX9xSgory35zR_5nzidouU_QVYV-eZ0OhaRRHmY2dq73g6BGZAKP5Z424XKTa=w109-h147,Foto2
﻿Barcos,Hernán Barcos,Hernán Barcos,Posición,FechaNac,LugarNac,Argentina,FechaMuerte,LugarMuerte,Peso,Altura,Estrella Roja (Serbia),Destino,Trayectoria,Biografía,https://blogger.googleusercontent.com/img/a/AVvXsEgVVbVcuBO5HbyICcF3FYh01cfbZu7C2pE1mIyWzvtaBzoN1KDQQvE4kkRPqSQptH3wNN7nrTeupz8ayDIAj61QkQx6foOV9hLAtrxwzErJnMAF0sxcjMeKxQArVbr0g_197-Vb77otu_oAkQux3qp1Ed9yOJESGXQ4e_CHR3ssHBZWYGlIImeAkGSyIoLP=w110-h147,Foto2
